coluna,tabela,categoria,item_detectado,exemplo_dado
BANCO_DADOS,CS_SVC_ACAO_SQL,BS,banco,TREEGATEWAY
TIPO_BANCO,CS_SVC_ACAO_SQL,BS,banco,0
